Longitude,Latitude,Altitude
-112.705816,51.467013667,725.2
-112.705814833,51.467012167,725.6
-112.705814833,51.467012167,725.6
-112.705814333,51.467011333,725.9
-112.705814333,51.467011333,725.9
-112.705814167,51.467010333,726.1
-112.705814167,51.467010333,726.1
-112.705813667,51.467009333,726.3
-112.705813667,51.467009333,726.3
-112.705814,51.467008667,726.4
-112.705814,51.467008667,726.4
-112.705814333,51.467008,726.5
-112.705814333,51.467008,726.5
-112.705814333,51.4670075,726.7
-112.705814333,51.4670075,726.7
-112.705814667,51.467008167,726.8
-112.705814667,51.467008167,726.8
-112.705814833,51.4670085,726.9
-112.705814833,51.4670085,726.9
-112.705814333,51.467008,727.2
-112.7058895,51.467,728.1
-112.705892667,51.467001667,727.8
-112.705892667,51.467001667,727.8
-112.705896667,51.467002333,727.5
-112.705896667,51.467002333,727.5
-112.705890167,51.466999833,727.2
-112.705890167,51.466999833,727.2
-112.705894333,51.467004833,725.8
-112.705894333,51.467004833,725.8
-112.705898667,51.467007333,725.3
-112.705898667,51.467007333,725.3
-112.705914333,51.467013333,723.7
-112.705914333,51.467013333,723.7
-112.705916833,51.4670135,723.2
-112.705916833,51.4670135,723.2
-112.705918667,51.467011,722.2
-112.705918667,51.467011,722.2
-112.705918833,51.467006,722.1
-112.705918833,51.467006,722.1
-112.705907167,51.467003333,723.3
-112.705907167,51.467003333,723.3
-112.705918667,51.467005167,722.6
-112.705918667,51.467005167,722.6
-112.705938833,51.4670045,721.4
-112.705938833,51.4670045,721.4
-112.705942667,51.4670045,721.1
-112.705942667,51.4670045,721.1
-112.705945333,51.467002333,720.9
-112.705945333,51.467002333,720.9
-112.705947667,51.466999667,720.7
-112.705947667,51.466999667,720.7
-112.705947333,51.466997167,720.6
-112.705947333,51.466997167,720.6
-112.705949167,51.466993333,720.6
-112.705949167,51.466993333,720.6
-112.705952,51.466991833,720.6
-112.705952,51.466991833,720.6
-112.705949667,51.466989333,720.4
-112.705949667,51.466989333,720.4
-112.705953,51.466988667,720.3
-112.705953,51.466988667,720.3
-112.70595,51.466987833,720.3
-112.70595,51.466987833,720.3
-112.705952167,51.4669855,720.4
-112.705952167,51.4669855,720.4
-112.705953167,51.4669805,720.3
-112.705953167,51.4669805,720.3
-112.705955667,51.4669785,720.1
-112.705955667,51.4669785,720.1
-112.705954667,51.4669765,720.3
-112.705954667,51.4669765,720.3
-112.705959167,51.466976667,719.9
-112.705959167,51.466976667,719.9
-112.705962333,51.4669745,719.8
-112.705962333,51.4669745,719.8
-112.705961667,51.466974167,719.5
-112.705961667,51.466974167,719.5
-112.7059595,51.466973,719.5
-112.7059595,51.466973,719.5
-112.705951667,51.466967667,719.9
-112.705951667,51.466967667,719.9
-112.705952167,51.4669585,719.9
-112.705952167,51.4669585,719.9
-112.705947333,51.466950833,719.8
-112.705947333,51.466950833,719.8
-112.705945,51.466948833,719.9
-112.705945,51.466948833,719.9
-112.705948,51.466944833,719.5
-112.705948,51.466944833,719.5
-112.70595,51.466940333,719.3
-112.70595,51.466940333,719.3
-112.7059495,51.466939667,719.1
-112.7059495,51.466939667,719.1
-112.705952,51.466939,718.7
-112.705952,51.466939,718.7
-112.705951167,51.4669355,718.6
-112.705951167,51.4669355,718.6
-112.7059525,51.466930167,718.6
-112.7059525,51.466930167,718.6
-112.705974333,51.466926833,718.5
-112.705974333,51.466926833,718.5
-112.705996167,51.466925667,718.1
-112.705996167,51.466925667,718.1
-112.7060105,51.466923833,717.7
-112.7060105,51.466923833,717.7
-112.706022,51.466924,717.2
-112.706022,51.466924,717.2
-112.706037,51.466926,716.9
-112.706037,51.466926,716.9
-112.706046333,51.4669325,716.6
-112.706046333,51.4669325,716.6
-112.706056333,51.466942667,716.3
-112.706056333,51.466942667,716.3
-112.706061,51.466955,716.0
-112.706061,51.466955,716.0
-112.706056167,51.466954167,719.9
-112.706056167,51.466954167,719.9
